YEAR,BUYING_DEALER,TOKEN_DONE,SUM_BID_AT_BOUGHT,AVG_BID_AT_BOUGHT,RECENT_BUY_DATE
2023,84368,30,5754891,191829.7,2023-12-28
2017,55769,43,5565600,129432.6,2017-12-30
2021,102096,5,1392700,278540.0,2021-12-02
2024,123300,2,127000,63500.0,2024-02-23
2020,60557,10,946770,94677.0,2020-12-21
2022,89049,16,1520762,95047.6,2022-12-26
2021,52230,96,12241631,127517.0,2021-12-25
2022,64941,78,7320676,93854.8,2022-12-27
2019,61404,13,3503135,269471.9,2019-11-27
2021,75209,14,6171430,440816.4,2021-12-26
2021,60609,12,1390350,115862.5,2021-12-25
2022,85422,8,785820,98227.5,2022-11-16
2024,84368,32,6406800,200212.5,2024-05-11
2023,86924,84,17674751,210413.7,2023-12-29
2021,60101,47,9702997,206446.7,2021-12-31
2019,57257,69,13705001,198623.2,2019-12-19
2022,24118,32,14351792,448493.5,2022-12-07
2023,111987,17,779783,45869.6,2023-11-07
2023,69486,4,2438924,609731.0,2023-12-30
2022,108738,122,18936495,155217.2,2022-12-30
2023,119864,9,4065779,451753.2,2023-12-28
2022,90265,76,10382629,136613.5,2022-12-31
2019,57083,78,8488615,108828.4,2019-10-09
2021,71929,23,5589445,243019.3,2021-12-26
2019,58615,16,1567600,97975.0,2019-10-19
2024,83724,6,1885000,314166.7,2024-04-29
2022,58123,57,22740392,398954.2,2022-12-25
2021,63472,48,11812397,246091.6,2021-12-29
2023,115893,3,2271867,757289.0,2023-11-06
2019,60303,20,2070095,103504.8,2019-12-17
2020,63637,42,5526281,131578.1,2020-12-27
2023,118012,55,21355236,388277.0,2023-12-29
2022,61193,81,16476806,203417.4,2022-12-27
2020,70725,23,4252357,184885.1,2020-12-28
2023,72014,8,2542245,317780.6,2023-11-25
2019,64240,24,2850870,118786.3,2019-12-23
2024,86880,12,4148800,345733.3,2024-04-02
2022,55651,8,2766572,345821.5,2022-11-02
2021,67649,5,650508,130101.6,2021-09-27
2024,22561,15,13509498,900633.2,2024-05-04
2023,68082,38,8238141,216793.2,2023-12-27
2019,55964,25,3293957,131758.3,2019-12-04
2023,61650,25,4150931,166037.2,2023-12-18
2021,80598,12,2042203,170183.6,2021-06-27
2021,57822,32,7718329,241197.8,2021-11-30
2022,87409,17,1446451,85085.4,2022-12-29
2022,115683,41,5560544,135623.0,2022-12-30
2023,118466,70,22375732,319653.3,2023-12-31
2021,82964,18,8222859,456825.5,2021-11-14
2023,113771,11,3444595,313145.0,2023-12-28
2021,73778,11,710488,64589.8,2021-12-20
2024,99019,2,280900,140450.0,2024-04-16
2023,57510,240,14989421,62455.9,2023-12-31
2021,69059,118,4157902,35236.5,2021-12-29
2022,100815,39,12746652,326837.2,2022-12-30
2020,57747,74,14189321,191747.6,2020-12-29
2020,72583,2,965593,482796.5,2020-10-20
2023,64609,37,44601465,1205445.0,2023-11-26
2017,53899,47,7901999,168127.6,2017-12-27
2020,70806,15,3135230,209015.3,2020-10-03
2024,72589,6,1543000,257166.7,2024-04-28
2022,85960,35,7711178,220319.4,2022-12-31
2021,73466,90,13805798,153397.8,2021-12-27
2023,108557,77,34575170,449028.2,2023-12-29
2023,70764,36,6647721,184658.9,2023-12-31
2023,120329,6,1523190,253865.0,2023-10-05
2022,60887,47,11474622,244140.9,2022-12-26
2021,67921,32,4262353,133198.5,2021-11-27
2021,76303,37,3884871,104996.5,2021-12-22
2019,58267,73,8265794,113230.1,2019-12-22
2023,63735,44,15056554,342194.4,2023-12-28
2024,63470,21,6719247,319964.1,2024-05-09
2023,77284,56,9749809,174103.7,2023-12-26
2021,81035,59,5783496,98025.4,2021-11-20
2024,104166,8,3082386,385298.3,2024-05-02
2018,59686,1,116000,116000.0,2018-12-20
2022,75497,25,2708973,108358.9,2022-12-26
2023,76430,10,3441257,344125.7,2023-12-28
2020,57986,8,1980689,247586.1,2020-12-24
2019,55946,100,21407425,214074.3,2019-12-29
2022,84933,31,5278470,170273.2,2022-11-25
2021,36846,277,107144237,386802.3,2021-12-31
2018,57173,96,16674544,173693.2,2018-12-30
2023,68835,38,3718463,97854.3,2023-12-30
2021,55631,352,47237384,134197.1,2021-12-28
2022,107031,13,4292045,330157.3,2022-12-24
2024,58507,10,2826000,282600.0,2024-05-06
2018,53899,84,11749661,139876.9,2018-12-29
2018,57351,14,2618500,187035.7,2018-09-25
2022,110063,6,310954,51825.7,2022-12-08
2019,55238,135,24972364,184980.5,2019-12-29
2021,66980,21,5653915,269234.0,2021-11-14
2020,72318,8,889212,111151.5,2020-12-04
2023,60284,109,38534434,353526.9,2023-12-30
2022,69195,58,9405145,162157.7,2022-12-27
2021,58460,29,3867232,133352.8,2021-11-23
2023,79220,21,11267745,536559.3,2023-08-25
2018,50981,57,8299075,145597.8,2018-12-30
2020,76366,5,1517696,303539.2,2020-12-26
2023,67021,58,27189169,468778.8,2023-12-31
2023,109142,40,4636110,115902.8,2023-12-13
2024,54938,47,17207144,366109.4,2024-05-11
2019,61188,30,2662665,88755.5,2019-07-28
2022,105854,114,29066097,254965.8,2022-12-30
2020,69391,51,5856322,114829.8,2020-12-30
2019,58305,129,58755271,455467.2,2019-12-26
2022,61840,15,2515101,167673.4,2022-11-27
2021,64038,225,44209009,196484.5,2021-12-28
2022,109166,44,16429831,373405.3,2022-12-04
2023,116727,21,2645220,125962.9,2023-12-19
2020,80159,19,549784,28936.0,2020-12-23
2023,40040,189,51826500,274214.3,2023-12-17
