YEAR,BUYING_DEALER,TOKEN_DONE,SUM_BID_AT_BOUGHT,AVG_BID_AT_BOUGHT,RECENT_BUY_DATE
2023,60786,1,482500,482500.0,2023-06-23
2021,77284,1,94400,94400.0,2021-07-25
2019,66595,1,135000,135000.0,2019-07-12
2021,88360,1,295696,295696.0,2021-01-15
2024,112807,1,252300,252300.0,2024-04-17
2017,55328,1,52000,52000.0,2017-05-06
2022,97475,1,250700,250700.0,2022-11-01
2022,117522,1,125500,125500.0,2022-10-29
2021,71569,1,166200,166200.0,2021-11-28
2021,69632,1,28000,28000.0,2021-12-15
2019,63492,1,331000,331000.0,2019-11-14
2019,61763,1,490000,490000.0,2019-03-20
2018,57460,1,586300,586300.0,2018-07-12
2021,82768,1,77000,77000.0,2021-01-09
2024,55673,1,68000,68000.0,2024-02-18
2020,81760,1,133600,133600.0,2020-08-17
2021,64865,1,193000,193000.0,2021-07-02
2019,70443,1,291620,291620.0,2019-11-23
2023,117676,1,112900,112900.0,2023-07-11
2022,77053,1,622291,622291.0,2022-06-03
2021,83310,1,396251,396251.0,2021-03-26
2024,81838,1,146100,146100.0,2024-04-20
2021,88984,1,280000,280000.0,2021-08-06
2019,65223,1,299000,299000.0,2019-06-04
2018,55852,2,371000,185500.0,2018-12-26
2019,63381,1,31000,31000.0,2019-06-01
2023,119903,1,92000,92000.0,2023-08-21
2022,105145,1,138300,138300.0,2022-06-06
2021,75475,1,310431,310431.0,2021-02-12
2023,123306,1,223600,223600.0,2023-12-29
2023,119166,1,28300,28300.0,2023-05-21
2024,118471,1,303000,303000.0,2024-04-16
2020,81271,1,480000,480000.0,2020-08-28
2021,96321,1,205000,205000.0,2021-08-12
2020,75316,1,245000,245000.0,2020-02-27
2023,116823,1,157500,157500.0,2023-10-23
2021,62459,1,190000,190000.0,2021-07-14
2019,58231,1,261000,261000.0,2019-09-29
2024,71247,1,38000,38000.0,2024-01-06
2024,103404,1,99000,99000.0,2024-02-03
2024,98469,2,405300,202650.0,2024-04-01
2020,84688,1,66494,66494.0,2020-11-17
2023,114856,1,116679,116679.0,2023-09-14
2020,84721,1,204000,204000.0,2020-10-12
2024,67987,1,1291436,1291436.0,2024-02-26
2023,111107,1,149500,149500.0,2023-09-29
2022,69684,1,114500,114500.0,2022-11-09
2024,60270,1,57800,57800.0,2024-02-15
2022,107464,1,100912,100912.0,2022-07-23
2021,60690,1,416800,416800.0,2021-09-16
2022,69244,2,2296000,1148000.0,2022-02-17
2022,112188,1,346797,346797.0,2022-03-03
2022,60439,1,227900,227900.0,2022-02-24
2021,85481,1,203000,203000.0,2021-02-03
2022,66931,1,347700,347700.0,2022-12-30
2021,80232,1,209524,209524.0,2021-04-14
2020,74786,1,113504,113504.0,2020-03-07
2021,90029,1,310000,310000.0,2021-03-04
2024,120515,1,206078,206078.0,2024-04-17
2020,73783,1,234400,234400.0,2020-02-14
2022,64393,2,818500,409250.0,2022-10-08
2022,117003,1,135300,135300.0,2022-09-07
2022,113683,1,319000,319000.0,2022-08-13
2019,70398,1,22370,22370.0,2019-11-26
2023,64281,1,217000,217000.0,2023-01-16
2024,116289,1,107900,107900.0,2024-01-08
2021,106282,1,1502107,1502107.0,2021-11-28
2022,117546,1,48000,48000.0,2022-11-15
2022,65110,1,135300,135300.0,2022-03-13
2020,70286,1,235000,235000.0,2020-02-02
2021,64394,1,202019,202019.0,2021-09-06
2021,108314,1,58000,58000.0,2021-12-09
2021,53468,1,254400,254400.0,2021-09-01
2023,26961,1,1301000,1301000.0,2023-11-07
2020,70000,1,83120,83120.0,2020-06-11
2023,61058,2,312200,156100.0,2023-06-12
2022,67479,1,380600,380600.0,2022-05-20
2021,54531,1,84079,84079.0,2021-05-17
2020,74913,1,195285,195285.0,2020-03-19
2022,57844,1,26900,26900.0,2022-01-24
2019,69158,1,74000,74000.0,2019-11-17
2021,100542,1,365281,365281.0,2021-09-19
2022,107114,1,706807,706807.0,2022-04-22
2022,56054,1,46000,46000.0,2022-03-15
2021,91705,1,152000,152000.0,2021-03-22
2021,99332,1,171400,171400.0,2021-08-14
2019,66254,2,161900,80950.0,2019-08-16
2022,56020,1,90630,90630.0,2022-05-16
2024,120987,1,233700,233700.0,2024-04-27
2022,89090,1,72882,72882.0,2022-01-23
2020,83419,1,293620,293620.0,2020-09-14
2019,70142,2,85935,42967.5,2019-12-29
2022,105232,1,188300,188300.0,2022-03-31
2023,120169,1,114000,114000.0,2023-12-26
2022,72038,1,164800,164800.0,2022-07-22
2023,82321,1,286500,286500.0,2023-01-17
2023,118769,1,1303640,1303640.0,2023-09-19
2023,77589,1,690000,690000.0,2023-05-21
2024,126970,1,272000,272000.0,2024-04-27
2023,71146,1,278500,278500.0,2023-05-26
2023,110668,1,352567,352567.0,2023-06-14
2019,60764,1,76000,76000.0,2019-10-13
2022,110397,1,42415,42415.0,2022-03-19
2024,58919,1,697500,697500.0,2024-02-20
2023,63306,1,117276,117276.0,2023-09-12
2020,82741,1,420000,420000.0,2020-10-07
2019,62831,1,129000,129000.0,2019-04-07
2023,58325,1,89816,89816.0,2023-09-06
2024,118884,1,116000,116000.0,2024-03-05
2021,60500,1,226000,226000.0,2021-07-18
2021,88877,1,84347,84347.0,2021-03-27
2023,119138,1,96100,96100.0,2023-06-03
2020,61370,1,100000,100000.0,2020-02-16
2018,55803,1,36000,36000.0,2018-05-15
2023,62627,1,211689,211689.0,2023-04-14
2019,65102,1,71000,71000.0,2019-06-08
2020,87145,2,360694,180347.0,2020-12-25
2022,112373,1,31800,31800.0,2022-03-12
2017,53391,1,226000,226000.0,2017-03-19
2024,108318,1,696300,696300.0,2024-02-13
2021,67397,1,61000,61000.0,2021-06-24
2023,112165,1,164100,164100.0,2023-10-19
2019,53575,1,47000,47000.0,2019-08-17
2023,122931,1,236300,236300.0,2023-12-30
2022,61058,1,76600,76600.0,2022-05-12
2021,92900,1,79000,79000.0,2021-04-03
2020,75770,1,250500,250500.0,2020-03-09
2021,75705,1,240900,240900.0,2021-10-16
2024,126435,2,796500,398250.0,2024-04-26
2021,59074,2,439710,219855.0,2021-07-28
2018,58232,1,159000,159000.0,2018-12-22
2023,118840,1,107300,107300.0,2023-06-02
2021,66628,1,190700,190700.0,2021-07-06
2024,119422,1,124000,124000.0,2024-03-20
2024,118561,1,429300,429300.0,2024-01-27
2020,72155,1,95810,95810.0,2020-03-01
2021,100292,1,194000,194000.0,2021-09-11
2023,73454,1,129600,129600.0,2023-05-10
2019,70806,1,178675,178675.0,2019-12-12
2021,95589,1,369500,369500.0,2021-06-17
2018,57805,1,101000,101000.0,2018-10-11
2021,58063,1,313000,313000.0,2021-10-12
2023,112044,1,334600,334600.0,2023-03-15
2019,64182,1,737000,737000.0,2019-07-18
2024,95130,1,796600,796600.0,2024-03-23
2020,85359,1,110771,110771.0,2020-10-20
2021,58528,1,444200,444200.0,2021-01-14
2021,88343,1,1700147,1700147.0,2021-01-04
2023,57871,1,363900,363900.0,2023-05-11
2019,67110,1,373000,373000.0,2019-08-13
2020,85299,1,154000,154000.0,2020-10-17
2022,61378,1,2446520,2446520.0,2022-01-22
2021,91457,1,88000,88000.0,2021-06-19
2024,80136,1,358500,358500.0,2024-03-28
2020,64128,1,1370000,1370000.0,2020-08-07
2024,118176,1,426100,426100.0,2024-04-13
2019,63495,1,296000,296000.0,2019-05-07
2023,60821,1,290400,290400.0,2023-01-08
2021,94301,1,381000,381000.0,2021-12-20
2020,58137,1,130100,130100.0,2020-01-12
2023,54795,1,112249,112249.0,2023-03-19
2024,57217,1,129400,129400.0,2024-01-31
2019,66486,1,152000,152000.0,2019-12-26
2024,112514,1,434000,434000.0,2024-02-05
2021,92600,1,130523,130523.0,2021-03-31
2021,70529,1,153277,153277.0,2021-01-08
2020,82844,1,895000,895000.0,2020-09-30
2020,84310,1,230780,230780.0,2020-12-09
2021,104321,1,1008829,1008829.0,2021-10-05
2021,70800,1,87000,87000.0,2021-05-17
2024,125529,1,110300,110300.0,2024-04-08
2019,59620,1,463000,463000.0,2019-11-09
2022,87787,1,301200,301200.0,2022-10-03
2019,64202,1,88000,88000.0,2019-07-10
2020,58374,1,231800,231800.0,2020-01-04
2023,103578,1,310800,310800.0,2023-12-25
2023,122023,1,139100,139100.0,2023-11-22
2021,81741,1,1851000,1851000.0,2021-10-02
2019,69409,1,149866,149866.0,2019-11-24
2020,87471,1,59000,59000.0,2020-12-28
2023,105585,1,116100,116100.0,2023-11-24
2021,86754,1,58000,58000.0,2021-03-24
2019,61272,1,122000,122000.0,2019-02-16
2020,64757,1,492500,492500.0,2020-01-14
2023,121839,1,60900,60900.0,2023-12-07
2024,82505,1,171600,171600.0,2024-03-10
2020,57205,1,245061,245061.0,2020-09-15
2023,58170,1,182973,182973.0,2023-01-31
2021,105639,1,199700,199700.0,2021-12-21
2020,61387,1,32000,32000.0,2020-01-15
2019,59980,1,110000,110000.0,2019-04-05
2024,101312,1,161500,161500.0,2024-01-14
2024,123252,1,367900,367900.0,2024-02-14
2023,106839,1,235300,235300.0,2023-05-23
2023,68954,1,820973,820973.0,2023-01-02
2020,85582,1,86100,86100.0,2020-11-24
2023,88532,1,502400,502400.0,2023-08-22
2021,61365,1,538091,538091.0,2021-01-23
2020,55852,1,126767,126767.0,2020-11-11
2024,83385,1,339600,339600.0,2024-03-10
2022,69408,1,256200,256200.0,2022-09-06
2019,64811,1,512000,512000.0,2019-07-02
2018,58382,1,144000,144000.0,2018-10-14
2021,92901,1,60800,60800.0,2021-04-09
2024,98891,1,407100,407100.0,2024-02-19
2020,81522,1,331000,331000.0,2020-10-12
2024,99881,1,510000,510000.0,2024-03-23
2023,71235,1,469999,469999.0,2023-08-21
2022,103977,1,415850,415850.0,2022-09-11
2019,59757,1,264000,264000.0,2019-07-27
2022,65376,1,55500,55500.0,2022-08-21
2022,64669,1,207574,207574.0,2022-09-05
2020,67551,1,384000,384000.0,2020-07-05
2024,114644,1,743900,743900.0,2024-05-10
2023,117476,1,745800,745800.0,2023-12-09
2022,81407,1,45000,45000.0,2022-05-16
2022,86454,1,139400,139400.0,2022-09-09
2021,59417,1,282000,282000.0,2021-10-08
2019,62476,1,125000,125000.0,2019-12-17
2023,60566,1,708851,708851.0,2023-07-07
2023,118311,1,715000,715000.0,2023-11-29
2021,65786,1,430000,430000.0,2021-08-24
2020,76723,1,62935,62935.0,2020-08-24
2022,89874,1,249985,249985.0,2022-04-26
2022,85333,1,292900,292900.0,2022-08-18
2020,83841,1,78732,78732.0,2020-12-13
2021,73257,1,337700,337700.0,2021-01-29
2020,68026,1,225000,225000.0,2020-02-04
2023,59059,1,311400,311400.0,2023-12-20
2022,105634,1,47000,47000.0,2022-02-05
2019,64730,1,110000,110000.0,2019-06-01
2022,66541,1,155012,155012.0,2022-05-12
2022,97192,1,510978,510978.0,2022-03-19
2022,100270,1,1405900,1405900.0,2022-11-17
2020,83691,1,294764,294764.0,2020-10-16
2022,99402,1,158900,158900.0,2022-10-03
2024,80601,1,101000,101000.0,2024-01-17
2024,113253,1,96900,96900.0,2024-01-09
2024,123382,1,209700,209700.0,2024-03-17
2024,103086,1,356900,356900.0,2024-04-17
2020,69083,1,157720,157720.0,2020-03-11
2022,103695,1,164900,164900.0,2022-03-06
2018,58378,1,265000,265000.0,2018-10-03
2023,71436,10,2841573,284157.3,2023-11-04
2024,117768,15,4651200,310080.0,2024-04-30
2022,90305,55,29806830,541942.4,2022-11-24
2023,68013,72,6996304,97170.9,2023-12-29
2021,100130,3,219900,73300.0,2021-09-05
2021,60914,9,3385454,376161.6,2021-10-19
2019,52656,67,21119195,315211.9,2019-12-26
2024,110073,16,4276000,267250.0,2024-05-02
2022,110736,11,2156100,196009.1,2022-12-18
2022,60143,9,1581750,175750.0,2022-08-10
2019,55364,239,62225577,260358.1,2019-12-31
2024,75812,13494,7189561242,532796.9,2024-05-13
2022,57921,23,5862331,254884.0,2022-12-19
2020,83276,3,1116700,372233.3,2020-11-30
2020,64138,17,3725505,219147.4,2020-12-09
2019,56017,58,14981237,258297.2,2019-12-31
2023,95783,18,1074885,59715.8,2023-12-06
2019,64683,757,180663223,238656.8,2019-12-31
2022,75646,30,3912705,130423.5,2022-12-25
2022,90599,34,10952642,322136.5,2022-12-30
2020,65373,62,23426977,377854.5,2020-12-30
2022,55287,206,76096559,369400.8,2022-12-25
2022,68689,134,36458608,272079.2,2022-12-25
2023,114289,46,8329501,181076.1,2023-12-03
2023,106114,104,11368878,109316.1,2023-12-30
2023,70550,16,4297440,268590.0,2023-11-20
2023,86245,75,14315643,190875.2,2023-12-30
2022,24560,23,12575845,546775.9,2022-12-16
2022,81035,35,5025822,143594.9,2022-12-31
2021,60206,53,11950645,225483.9,2021-12-31
2019,63524,15,4809172,320611.5,2019-12-29
2022,64020,13,1114887,85760.5,2022-12-02
2022,107283,2,339628,169814.0,2022-01-23
2022,87236,11,6435457,585041.5,2022-11-15
2020,76381,44,4843029,110068.8,2020-12-29
2023,80138,3,416130,138710.0,2023-07-20
2021,68642,5,1467039,293407.8,2021-10-12
2022,96389,5,1846200,369240.0,2022-12-08
2021,57986,17,3982700,234276.5,2021-12-06
2019,58007,11,971000,88272.7,2019-08-31
2021,60284,50,15341636,306832.7,2021-12-19
2020,67697,13,3760600,289276.9,2020-12-20
2021,74650,13,3588103,276007.9,2021-12-31
2023,65895,60,19746031,329100.5,2023-12-25
2019,54004,45,17208590,382413.1,2019-12-21
2020,66011,5,801779,160355.8,2020-03-01
2022,68011,20,7360777,368038.9,2022-12-26
2022,78273,2,1521584,760792.0,2022-08-20
2021,68234,53,7226904,136356.7,2021-11-03
2023,96442,65,16242722,249888.0,2023-12-26
2024,116349,21,7545010,359286.2,2024-05-12
2023,61403,12,4927659,410638.3,2023-11-26
2022,97761,93,21502579,231210.5,2022-12-28
2023,57895,149,28239958,189529.9,2023-12-28
2024,65827,1,394500,394500.0,2024-04-25
2021,67210,15,5224035,348269.0,2021-12-28
2021,59139,22,4964639,225665.4,2021-12-12
2023,66054,42,7810862,185972.9,2023-12-07
2024,112275,10,607200,60720.0,2024-05-08
2024,70152,36,8867100,246308.3,2024-05-01
2024,125938,2,137800,68900.0,2024-04-02
2023,79321,26,8517320,327589.2,2023-12-08
2022,107808,16,8302954,518934.6,2022-04-02
2023,111190,85,16260876,191304.4,2023-12-24
2020,62517,78,28574563,366340.6,2020-12-28
2024,58031,37,1560000,42162.2,2024-05-13
2022,111204,24,6018729,250780.4,2022-10-12
2019,67610,6,2113331,352221.8,2019-12-13
2019,57548,106,2815061,26557.2,2019-12-22
2019,64147,32,7857824,245557.0,2019-12-28
2019,57472,44,10251860,232996.8,2019-12-27
2019,57767,105,62885936,598913.7,2019-12-29
2021,85703,29,3961998,136620.6,2021-11-23
2020,81805,12,863805,71983.8,2020-12-25
2021,85686,1,60000,60000.0,2021-04-05
2022,109711,51,20837006,408568.7,2022-12-16
2024,122498,24,5246500,218604.2,2024-04-23
2023,58497,2,1182827,591413.5,2023-11-16
2019,55031,9,2231634,247959.3,2019-10-23
2023,89133,11,14873401,1352127.4,2023-12-24
2021,61193,71,14448935,203506.1,2021-12-27
2015,,29,0,0.0,2015-12-30
2022,110759,70,9596765,137096.6,2022-12-30
2020,75634,9,914599,101622.1,2020-11-21
2021,62355,71,32533160,458213.5,2021-12-30
2021,60540,11,1386693,126063.0,2021-04-16
2021,87353,31,9937722,320571.7,2021-12-11
2023,116082,15,2945572,196371.5,2023-12-06
2020,63503,15,4609900,307326.7,2020-12-26
2023,73095,9,3580021,397780.1,2023-12-18
2019,60188,6,191000,31833.3,2019-01-06
2018,test131,40,7352000,183800.0,2018-12-06
2020,67995,17,2291664,134803.8,2020-10-24
2022,91851,59,2744892,46523.6,2022-12-20
2021,79803,20,3639915,181995.8,2021-12-16
2021,95493,6,1320100,220016.7,2021-09-15
2019,55703,92,23321864,253498.5,2019-12-27
2019,55797,283,87718599,309959.7,2019-12-28
2019,63132,22,3436095,156186.1,2019-12-19
2022,64038,229,42477881,185492.9,2022-12-30
2020,72634,2,234000,117000.0,2020-02-10
2020,57110,22,16101696,731895.3,2020-12-15
2020,66138,21,5943372,283017.7,2020-10-01
2018,57010,8,2299500,287437.5,2018-12-04
2018,16092,46,6733650,146383.7,2018-12-29
2020,82043,9,1699759,188862.1,2020-12-13
2021,60810,330,51323282,155525.1,2021-12-22
2022,53295,10,3408926,340892.6,2022-10-15
2023,67577,52,30746993,591288.3,2023-12-30
2017,10689,64,10191482,159241.9,2017-12-31
2021,87979,2,657436,328718.0,2021-02-25
2019,66744,38,7346860,193338.4,2019-12-13
2021,68958,10,2173875,217387.5,2021-12-04
2020,85551,8,2614295,326786.9,2020-12-31
2023,68734,27,6960480,257795.6,2023-12-26
2017,55871,40,17150744,428768.6,2017-12-31
2023,68634,25,4068836,162753.4,2023-11-28
2023,82596,34,6909157,203210.5,2023-12-28
2021,82348,51,11405056,223628.5,2021-12-26
2023,116021,20,1483654,74182.7,2023-11-26
2022,82799,105,15492583,147548.4,2022-12-30
2023,99524,20,1224949,61247.5,2023-11-27
2023,78737,33,10623379,321920.6,2023-10-20
2019,63194,45,12784924,284109.4,2019-12-31
2020,69515,22,7858477,357203.5,2020-12-29
2021,76107,11,1729386,157216.9,2021-08-12
2019,57690,9,992000,110222.2,2019-05-10
2023,68344,81,37169180,458878.8,2023-12-30
2019,55695,82,44750784,545741.3,2019-12-12
2023,85960,78,23092181,296053.6,2023-12-25
2022,60729,18,4032300,224016.7,2022-12-13
2023,116016,8,396873,49609.1,2023-10-15
2022,71143,4,733980,183495.0,2022-07-14
2022,69635,43,1770669,41178.3,2022-12-29
2019,64895,27,8033486,297536.5,2019-12-31
2023,111276,18,1764232,98012.9,2023-12-26
2020,58322,15,2315290,154352.7,2020-12-31
2023,54589,68,40339376,593226.1,2023-12-31
2021,59411,202,6734552,33339.4,2021-12-22
2023,84442,41,11459366,279496.7,2023-12-28
2022,65468,29,7685935,265032.2,2022-12-29
2020,67230,36,8620725,239464.6,2020-11-06
2022,102718,25,6934909,277396.4,2022-12-23
2022,84513,14,1179116,84222.6,2022-12-27
2022,116021,13,962540,74041.5,2022-12-26
2021,64783,28,15116126,539861.6,2021-12-30
2023,104118,29,12186130,420211.4,2023-12-29
2021,53418,88,12287511,139630.8,2021-12-29
2019,59606,20,3866705,193335.3,2019-03-27
2017,55238,77,7792136,101196.6,2017-12-31
2020,55754,16,7509856,469366.0,2020-12-22
2024,125651,3,252900,84300.0,2024-04-07
2020,57882,27,4290131,158893.7,2020-12-31
2023,62507,126,17973703,142648.4,2023-12-29
2019,52957,104,40898570,393255.5,2019-07-13
2022,17403,34,18386763,540787.1,2022-12-02
2021,57971,14,4730438,337888.4,2021-09-20
2021,52391,7,1678879,239839.9,2021-04-07
2023,62615,40,8784381,219609.5,2023-12-24
2023,112083,9,1199252,133250.2,2023-12-26
2021,58593,72,29084937,403957.5,2021-12-28
2019,62960,36,4674295,129841.5,2019-12-05
2023,94560,38,12889430,339195.5,2023-12-07
2019,59216,68,28258393,415564.6,2019-12-27
2022,94784,46,12534260,272483.9,2022-12-30
2022,60747,57,14299233,250863.7,2022-12-25
2023,81110,57,13346246,234144.7,2023-12-30
2021,89477,18,6122533,340140.7,2021-10-12
2021,90483,2,538904,269452.0,2021-04-07
2022,116685,9,1095895,121766.1,2022-10-28
2024,69902,54,15057200,278837.0,2024-05-12
2021,67986,7,3246940,463848.6,2021-12-28
2024,51128,3,3249642,1083214.0,2024-04-25
2022,102085,28,3982269,142223.9,2022-12-10
2019,58472,18,6521295,362294.2,2019-07-29
2022,69258,105,14854972,141475.9,2022-12-30
2019,58704,86,11326288,131701.0,2019-12-22
2023,117830,67,7431854,110923.2,2023-12-31
2019,50199,76,26884052,353737.5,2019-06-24
2021,73498,30,6576970,219232.3,2021-12-24
2023,61815,32,7257729,226804.0,2023-08-10
2020,67575,6,1084316,180719.3,2020-03-21
2019,60469,54,16586100,307150.0,2019-12-28
2020,24656,30,9181670,306055.7,2020-12-09
2019,61297,35,3623855,103538.7,2019-12-23
2020,68344,48,22629776,471453.7,2020-12-29
2022,64787,194,8031269,41398.3,2022-12-31
2023,80079,17,3874591,227917.1,2023-11-26
2022,59769,11,1154411,104946.5,2022-10-22
2023,83468,28,10259610,366414.6,2023-12-31
2024,116873,13,6018828,462986.8,2024-05-12
2023,60586,39,7688610,197143.8,2023-12-22
2024,100051,7,2231500,318785.7,2024-05-02
2023,119486,29,4414844,152236.0,2023-12-20
2024,76224,7,4059800,579971.4,2024-04-15
2020,57699,14,2227294,159092.4,2020-12-28
2023,121986,6,1730200,288366.7,2023-12-25
2018,53771,47,17786198,378429.7,2018-09-21
2023,61728,33,6695915,202906.5,2023-12-22
2019,58202,22,7426269,337557.7,2019-12-31
2018,55911,171,42980595,251348.5,2018-12-28
2020,61918,54,9081805,168181.6,2020-12-29
2019,59930,50,7268400,145368.0,2019-12-14
2019,57604,19,12745194,670799.7,2019-12-30
2019,61693,26,7936643,305255.5,2019-12-17
2022,78074,69,20887425,302716.3,2022-12-19
2020,81054,20,6306950,315347.5,2020-12-31
2022,62598,16,6382696,398918.5,2022-12-17
2021,75564,14,775300,55378.6,2021-12-13
2023,59510,47,5135082,109257.1,2023-12-30
2021,70953,92,8872341,96438.5,2021-12-30
2018,55842,92,43011164,467512.7,2018-12-31
2024,111918,13,3120007,240000.5,2024-05-08
2021,55805,12,1815606,151300.5,2021-10-19
2019,59431,25,4885150,195406.0,2019-12-24
2024,65463,9,1947592,216399.1,2024-05-11
2022,58704,47,8825213,187770.5,2022-12-13
2017,52532,141,28218746,200133.0,2017-12-31
2023,108771,17,6911686,406569.8,2023-04-29
2019,55798,14,3419204,244228.9,2019-12-24
2021,59664,18,5309067,294948.2,2021-12-19
2018,27025,3,1795750,598583.3,2018-06-23
2019,70328,5,1069780,213956.0,2019-12-29
2021,81134,101,32907188,325813.7,2021-12-17
2021,69046,12,5876003,489666.9,2021-12-26
2021,68693,79,9422981,119278.2,2021-12-30
2018,50868,9,2783500,309277.8,2018-04-12
2021,64625,8,3505300,438162.5,2021-11-27
2019,55779,106,4247897,40074.5,2019-12-30
2022,64206,54,15558633,288122.8,2022-12-31
2023,86747,40,7107024,177675.6,2023-12-19
2023,97327,6,1527600,254600.0,2023-12-20
2019,67851,28,8550638,305379.9,2019-12-24
2023,86316,39,6857903,175843.7,2023-12-19
2020,61543,49,5834497,119071.4,2020-12-29
2023,113215,2,464900,232450.0,2023-10-21
2022,112453,13,2033287,156406.7,2022-08-16
2019,69788,1,525000,525000.0,2019-11-23
2022,106663,11,2421643,220149.4,2022-11-20
2018,29194,14,3279000,234214.3,2018-09-22
2023,68720,3,857000,285666.7,2023-12-04
2019,61728,36,7482870,207857.5,2019-12-31
2019,61444,56,11473829,204889.8,2019-12-30
2022,113130,21,3554926,169282.2,2022-08-22
2023,72734,14,5094060,363861.4,2023-12-24
2024,68324,22,4783400,217427.3,2024-05-09
2021,57203,61,8640632,141649.7,2021-12-30
2023,109403,7,931580,133082.9,2023-12-29
2024,117746,5,740500,148100.0,2024-04-05
2021,89422,10,3050045,305004.5,2021-06-26
2024,112392,17,3658300,215194.1,2024-05-11
2024,84719,8,3001300,375162.5,2024-03-26
2022,79905,17,3943456,231968.0,2022-11-25
2021,99516,1,70502,70502.0,2021-07-27
2022,61855,17,7831072,460651.3,2022-06-12
2021,62681,63,24087564,382342.3,2021-12-26
2022,62078,11,417081,37916.5,2022-10-03
2019,62083,98,36959920,377142.0,2019-12-31
2019,54716,143,20194189,141218.1,2019-08-24
2022,77541,20,5081053,254052.7,2022-12-18
2019,60052,12,3791340,315945.0,2019-11-13
2019,12940,36,10436010,289889.2,2019-12-13
2021,55382,51,14478422,283890.6,2021-12-17
2019,60680,90,20274276,225269.7,2019-12-18
2021,91086,13,1965521,151193.9,2021-12-29
2023,115044,12,1823200,151933.3,2023-08-28
2019,70300,3,1551531,517177.0,2019-12-12
2023,108414,23,5443065,236655.0,2023-12-21
2022,75718,6,2170164,361694.0,2022-12-14
2022,67155,90,9071973,100799.7,2022-12-28
2023,117083,41,16868738,411432.6,2023-12-16
2023,106330,7,2422076,346010.9,2023-12-11
2022,108694,133,26136311,196513.6,2022-12-29
2020,64965,8,2349981,293747.6,2020-10-28
2022,73828,16,3454152,215884.5,2022-11-23
2019,57480,112,20667207,184528.6,2019-12-28
2023,92139,34,10381735,305345.1,2023-11-11
2022,67464,13,2276841,175141.6,2022-12-24
2022,113733,16,2059999,128749.9,2022-12-31
2022,74923,77,15594438,202525.2,2022-12-31
2023,105416,16,2945258,184078.6,2023-12-19
2021,62513,31,14816709,477958.4,2021-12-14
2022,59245,34,10035745,295169.0,2022-12-27
2020,71685,3,563000,187666.7,2020-03-05
2019,60867,4,2622000,655500.0,2019-04-16
2019,68346,36,2979340,82759.4,2019-12-29
2022,91173,26,2589985,99614.8,2022-12-29
2022,82132,31,9780908,315513.2,2022-12-13
2022,70861,44,7476993,169931.7,2022-12-30
2022,64223,35,13692888,391225.4,2022-12-29
2018,55681,20,8345300,417265.0,2018-12-23
2023,58253,17,8445798,496811.6,2023-12-28
2024,84348,36,25264315,701786.5,2024-05-05
2023,62114,57,9890256,173513.3,2023-12-25
2020,59424,22,5395047,245229.4,2020-12-23
2023,62681,137,65992207,481694.9,2023-12-26
2022,65263,14,5724777,408912.6,2022-11-07
2023,85203,5,246756,49351.2,2023-10-06
2021,55919,30,4607670,153589.0,2021-10-26
2023,117566,75,22550801,300677.3,2023-12-30
2020,72184,49,9223871,188242.3,2020-10-11
2023,118159,15,3918849,261256.6,2023-12-04
2021,91247,24,2496218,104009.1,2021-12-27
2021,83720,11,3667566,333415.1,2021-08-19
2023,60102,89,22640162,254383.8,2023-12-27
2021,77155,21,4965435,236449.3,2021-11-21
2023,118238,28,11790651,421094.7,2023-12-27
2018,57474,28,4527000,161678.6,2018-12-16
2023,66897,2,447800,223900.0,2023-04-24
2022,71695,4,859700,214925.0,2022-12-17
2022,115887,9,4020154,446683.8,2022-12-16
2022,58725,25,11038902,441556.1,2022-10-31
2023,61140,90,43071913,478576.8,2023-12-29
2024,68015,11,3669000,333545.5,2024-05-09
2019,63063,208,58238595,279993.2,2019-09-28
2023,53615,77,23280447,302343.5,2023-12-30
2023,55247,176,45576759,258958.9,2023-12-29
2021,95498,51,6998983,137235.0,2021-12-09
2022,116364,9,1076100,119566.7,2022-12-12
2019,61774,1,109000,109000.0,2019-04-22
2022,66496,21,6325767,301227.0,2022-12-16
2019,55515,39,13046616,334528.6,2019-12-29
2024,121981,8,1932300,241537.5,2024-05-12
2021,60597,24,7848648,327027.0,2021-12-30
2021,67591,15,4162625,277508.3,2021-12-13
2021,69820,19,4367482,229867.5,2021-11-27
2022,80297,14,1661366,118669.0,2022-12-04
2024,125434,3,654400,218133.3,2024-04-29
2019,40040,474,81545940,172037.8,2019-12-31
2023,86191,1,454600,454600.0,2023-08-18
2022,108159,15,2596815,173121.0,2022-11-06
2021,64104,96,6040467,62921.5,2021-12-30
2019,65147,9,1718000,190888.9,2019-09-17
2022,74137,3,639500,213166.7,2022-10-11
2023,23575,114,31344558,274952.3,2023-12-31
2019,64010,5,1258597,251719.4,2019-11-16
2022,79220,66,28678268,434519.2,2022-12-30
2023,26944,12,5905647,492137.3,2023-07-25
2021,63642,16,2554736,159671.0,2021-10-03
2024,117744,59,28631284,485276.0,2024-05-10
2021,95484,5,466700,93340.0,2021-12-12
2019,66952,15,2700950,180063.3,2019-12-04
2022,71751,58,6534856,112669.9,2022-12-23
2020,60081,18,3906140,217007.8,2020-11-27
2024,62494,53,9770300,184345.3,2024-05-13
2022,110026,42,8060932,191927.0,2022-09-24
2023,57755,24,8975902,373995.9,2023-11-17
2019,60790,44,9282390,210963.4,2019-12-26
